transaction_id,customer_id,transaction_date,transaction_type,amount
BANK-C005-0-01,C005,2026-03-27,入金,10704
BANK-C005-0-00,C005,2026-03-28,入金,9330
BANK-C005-1-00,C005,2026-04-18,入金,8390
BANK-C005-1-01,C005,2026-05-08,入金,9813
BANK-C005-2-00,C005,2026-05-29,入金,8680
BANK-C005-2-01,C005,2026-06-01,出金,6700
BANK-C005-3-00,C005,2026-06-21,入金,13050
BANK-C007-0-01,C007,2026-03-19,入金,15340
BANK-C007-0-03,C007,2026-03-20,入金,15025
BANK-C007-0-02,C007,2026-03-22,入金,10090
BANK-C007-0-00,C007,2026-03-29,出金,8670
BANK-C007-1-03,C007,2026-04-18,入金,10001
BANK-C007-1-01,C007,2026-04-30,入金,13650
BANK-C007-1-02,C007,2026-05-05,入金,10820
BANK-C007-1-00,C007,2026-05-11,出金,18510
BANK-C007-2-02,C007,2026-05-19,入金,12780
BANK-C007-2-03,C007,2026-06-07,入金,11575
BANK-C007-2-01,C007,2026-06-11,入金,17180
BANK-C007-2-00,C007,2026-06-13,入金,16870
BANK-C007-3-04,C007,2026-06-19,出金,5971
BANK-C007-3-02,C007,2026-06-21,出金,13830
BANK-C007-3-03,C007,2026-07-02,出金,18660
BANK-C007-3-00,C007,2026-07-09,入金,9450
BANK-C007-3-01,C007,2026-07-09,入金,13790
BANK-C008-0-00,C008,2026-04-12,入金,17540
BANK-C008-0-02,C008,2026-04-15,入金,20432
BANK-C008-0-01,C008,2026-04-17,出金,22430
BANK-C008-1-01,C008,2026-04-18,入金,15880
BANK-C008-1-02,C008,2026-04-19,入金,27124
BANK-C008-1-00,C008,2026-05-05,出金,16480
BANK-C008-2-00,C008,2026-05-19,出金,21230
BANK-C008-2-01,C008,2026-05-25,入金,22410
BANK-C008-2-02,C008,2026-06-11,入金,17650
BANK-C008-3-01,C008,2026-06-27,入金,13480
BANK-C008-3-02,C008,2026-06-27,入金,33390
BANK-C008-3-00,C008,2026-07-03,入金,15700
BANK-C009-0-01,C009,2026-03-30,入金,11660
BANK-C009-0-02,C009,2026-04-04,入金,7075
BANK-C009-0-00,C009,2026-04-16,出金,14090
BANK-C009-1-01,C009,2026-04-18,入金,6500
BANK-C009-1-00,C009,2026-05-05,出金,16100
BANK-C009-1-02,C009,2026-05-17,出金,7136
BANK-C009-2-00,C009,2026-05-26,入金,13170
BANK-C009-2-01,C009,2026-06-04,入金,13100
BANK-C009-3-01,C009,2026-06-23,出金,11154
BANK-C009-3-00,C009,2026-07-13,出金,10940
BANK-C010-0-00,C010,2026-03-22,出金,12340
BANK-C010-0-01,C010,2026-04-11,入金,6010
BANK-C010-0-03,C010,2026-04-15,入金,8054
BANK-C010-0-02,C010,2026-04-17,入金,4990
BANK-C010-1-00,C010,2026-04-27,入金,5670
BANK-C010-1-02,C010,2026-05-10,出金,11260
BANK-C010-1-01,C010,2026-05-14,入金,11510
BANK-C010-2-02,C010,2026-05-19,入金,8315
BANK-C010-2-00,C010,2026-05-29,出金,7280
BANK-C010-2-01,C010,2026-06-01,入金,8820
BANK-C010-3-02,C010,2026-06-23,入金,9774
BANK-C010-3-01,C010,2026-06-25,出金,4500
BANK-C010-3-00,C010,2026-07-13,出金,7840
BANK-C011-0-01,C011,2026-03-21,入金,18950
BANK-C011-0-00,C011,2026-03-26,入金,15620
BANK-C011-0-02,C011,2026-04-07,出金,16797
BANK-C011-1-00,C011,2026-04-18,出金,22210
BANK-C011-1-01,C011,2026-05-07,入金,16808
BANK-C011-2-00,C011,2026-05-18,入金,27641
BANK-C011-3-00,C011,2026-07-16,出金,20901
BANK-C012-0-01,C012,2026-03-21,出金,17241
BANK-C012-0-00,C012,2026-03-30,入金,20910
BANK-C012-1-00,C012,2026-04-27,出金,15950
BANK-C012-1-01,C012,2026-05-12,出金,25677
BANK-C012-2-00,C012,2026-05-22,入金,19580
BANK-C012-2-01,C012,2026-05-26,出金,24099
BANK-C012-3-00,C012,2026-07-12,入金,17970
BANK-C012-3-01,C012,2026-07-16,入金,28773
BANK-C014-0-03,C014,2026-03-19,入金,22355
BANK-C014-0-01,C014,2026-03-27,出金,13910
BANK-C014-0-02,C014,2026-03-27,出金,29450
BANK-C014-0-00,C014,2026-04-05,入金,10270
BANK-C014-1-00,C014,2026-04-20,出金,22600
BANK-C014-1-01,C014,2026-04-30,出金,17730
BANK-C014-1-03,C014,2026-04-30,入金,10612
BANK-C014-1-02,C014,2026-05-09,出金,23220
BANK-C014-2-00,C014,2026-05-18,出金,8890
BANK-C014-2-03,C014,2026-05-19,出金,18237
BANK-C014-2-01,C014,2026-06-05,出金,20320
BANK-C014-2-02,C014,2026-06-15,出金,28470
BANK-C014-3-02,C014,2026-06-23,出金,21710
BANK-C014-3-01,C014,2026-07-02,出金,23200
BANK-C014-3-00,C014,2026-07-10,出金,17770
BANK-C014-3-03,C014,2026-07-12,入金,18723
BANK-C018-0-00,C018,2026-03-30,入金,7670
BANK-C018-0-03,C018,2026-03-30,出金,15969
BANK-C018-0-01,C018,2026-04-09,入金,12750
BANK-C018-0-02,C018,2026-04-16,出金,21000
BANK-C018-1-01,C018,2026-04-29,入金,17470
BANK-C018-1-02,C018,2026-05-01,入金,13075
BANK-C018-1-00,C018,2026-05-08,入金,21180
BANK-C018-2-02,C018,2026-05-27,入金,17171
BANK-C018-2-00,C018,2026-05-29,出金,10880
BANK-C018-2-01,C018,2026-06-11,出金,15760
BANK-C018-3-02,C018,2026-06-30,出金,17293
BANK-C018-3-01,C018,2026-07-04,出金,14220
BANK-C018-3-00,C018,2026-07-08,入金,6800
BANK-C025-0-00,C025,2026-03-24,出金,8690
BANK-C025-0-03,C025,2026-04-06,入金,10549
BANK-C025-0-02,C025,2026-04-13,出金,7920
BANK-C025-0-01,C025,2026-04-15,出金,8450
BANK-C025-1-00,C025,2026-04-20,出金,5480
BANK-C025-1-02,C025,2026-05-01,出金,6250
BANK-C025-1-01,C025,2026-05-14,入金,13330
BANK-C025-1-03,C025,2026-05-16,出金,11910
BANK-C025-2-00,C025,2026-05-18,出金,8030
BANK-C025-2-01,C025,2026-05-26,出金,15050
BANK-C025-2-03,C025,2026-06-04,出金,7882
BANK-C025-2-02,C025,2026-06-16,入金,6770
BANK-C025-3-02,C025,2026-06-20,出金,7510
BANK-C025-3-00,C025,2026-06-27,入金,13390
BANK-C025-3-03,C025,2026-06-27,出金,13998
BANK-C025-3-01,C025,2026-07-02,出金,6680
BANK-C026-0-01,C026,2026-03-21,出金,17120
BANK-C026-0-03,C026,2026-03-28,入金,10879
BANK-C026-0-02,C026,2026-04-10,入金,14890
BANK-C026-0-00,C026,2026-04-17,入金,16120
BANK-C026-1-02,C026,2026-04-21,入金,23897
BANK-C026-1-00,C026,2026-05-05,入金,11860
BANK-C026-1-01,C026,2026-05-08,出金,15250
BANK-C026-2-01,C026,2026-05-21,入金,10620
BANK-C026-2-02,C026,2026-05-24,入金,7085
BANK-C026-2-00,C026,2026-05-27,入金,26020
BANK-C026-3-00,C026,2026-06-19,出金,11760
BANK-C026-3-01,C026,2026-06-19,入金,25126
BANK-C027-0-00,C027,2026-03-20,入金,13170
BANK-C027-0-02,C027,2026-03-29,出金,11446
BANK-C027-0-01,C027,2026-04-03,出金,5210
BANK-C027-1-00,C027,2026-05-03,出金,11580
BANK-C027-1-01,C027,2026-05-15,出金,9957
BANK-C027-2-01,C027,2026-05-21,入金,7250
BANK-C027-2-00,C027,2026-06-11,出金,7550
BANK-C028-0-00,C028,2026-03-21,出金,17450
BANK-C028-0-01,C028,2026-03-21,出金,14710
BANK-C028-0-02,C028,2026-03-26,入金,5660
BANK-C028-0-03,C028,2026-04-11,入金,7883
BANK-C028-1-02,C028,2026-04-19,入金,5180
BANK-C028-1-04,C028,2026-04-27,入金,8150
BANK-C028-1-03,C028,2026-04-28,出金,8650
BANK-C028-1-01,C028,2026-05-03,入金,11700
BANK-C028-1-00,C028,2026-05-07,出金,14120
BANK-C028-2-01,C028,2026-05-22,入金,12400
BANK-C028-2-02,C028,2026-06-05,出金,9380
BANK-C028-2-00,C028,2026-06-08,出金,10590
BANK-C028-2-04,C028,2026-06-08,入金,5125
BANK-C028-2-03,C028,2026-06-14,出金,11320
BANK-C028-3-02,C028,2026-06-29,入金,8690
BANK-C028-3-01,C028,2026-07-05,入金,14180
BANK-C028-3-00,C028,2026-07-09,入金,12450
BANK-C028-3-03,C028,2026-07-12,出金,9340
BANK-C028-3-04,C028,2026-07-16,出金,8913
BANK-C033-0-02,C033,2026-04-06,入金,5990
BANK-C033-0-01,C033,2026-04-09,入金,6690
BANK-C033-0-00,C033,2026-04-15,出金,4810
BANK-C033-0-03,C033,2026-04-15,入金,5241
BANK-C033-1-00,C033,2026-04-21,出金,4430
BANK-C033-1-01,C033,2026-04-21,入金,5620
BANK-C033-1-03,C033,2026-04-22,出金,6875
BANK-C033-1-02,C033,2026-04-23,入金,6120
BANK-C033-2-01,C033,2026-05-29,出金,10940
BANK-C033-2-00,C033,2026-06-02,出金,3880
BANK-C033-2-03,C033,2026-06-09,入金,2978
BANK-C033-2-02,C033,2026-06-12,入金,7820
BANK-C033-3-02,C033,2026-06-18,入金,7280
BANK-C033-3-03,C033,2026-06-25,出金,4150
BANK-C033-3-00,C033,2026-06-30,出金,4520
BANK-C033-3-04,C033,2026-06-30,入金,5190
BANK-C033-3-01,C033,2026-07-02,出金,6160
BANK-C034-0-01,C034,2026-03-20,入金,6320
BANK-C034-0-04,C034,2026-03-23,出金,11794
BANK-C034-0-03,C034,2026-03-25,出金,8200
BANK-C034-0-02,C034,2026-03-26,入金,17750
BANK-C034-0-00,C034,2026-04-05,入金,9420
BANK-C034-1-02,C034,2026-04-18,入金,10700
BANK-C034-1-03,C034,2026-04-21,出金,10420
BANK-C034-1-00,C034,2026-05-04,出金,9360
BANK-C034-1-01,C034,2026-05-13,入金,15960
BANK-C034-2-01,C034,2026-05-22,入金,8160
BANK-C034-2-02,C034,2026-05-28,出金,11760
BANK-C034-2-00,C034,2026-06-12,出金,11680
BANK-C034-2-03,C034,2026-06-16,出金,8652
BANK-C034-3-01,C034,2026-07-02,入金,14470
BANK-C034-3-02,C034,2026-07-02,出金,9714
BANK-C034-3-00,C034,2026-07-08,出金,10260
BANK-C036-0-02,C036,2026-03-20,出金,12823
BANK-C036-0-00,C036,2026-03-27,出金,26930
BANK-C036-0-01,C036,2026-04-01,出金,15950
BANK-C036-1-00,C036,2026-04-28,入金,28460
BANK-C036-1-01,C036,2026-05-12,出金,9858
BANK-C036-2-00,C036,2026-06-10,出金,16380
BANK-C036-2-01,C036,2026-06-16,出金,11828
BANK-C036-3-00,C036,2026-07-01,出金,20682
BANK-C037-0-01,C037,2026-03-21,出金,12070
BANK-C037-0-02,C037,2026-04-01,出金,22930
BANK-C037-0-03,C037,2026-04-07,出金,15267
BANK-C037-0-00,C037,2026-04-12,出金,26780
BANK-C037-1-03,C037,2026-04-19,入金,41992
BANK-C037-1-00,C037,2026-04-22,出金,12480
BANK-C037-1-02,C037,2026-05-08,出金,14330
BANK-C037-1-01,C037,2026-05-12,出金,13700
BANK-C037-2-02,C037,2026-05-27,入金,19750
BANK-C037-2-01,C037,2026-05-28,入金,17990
BANK-C037-2-03,C037,2026-06-13,出金,28225
BANK-C037-2-00,C037,2026-06-16,入金,17400
BANK-C037-3-02,C037,2026-06-29,入金,15120
BANK-C037-3-01,C037,2026-07-02,入金,15570
BANK-C037-3-00,C037,2026-07-03,出金,20470
BANK-C037-3-03,C037,2026-07-11,入金,30210
BANK-C039-0-02,C039,2026-03-25,出金,8570
BANK-C039-0-01,C039,2026-03-28,入金,11230
BANK-C039-0-04,C039,2026-03-29,入金,16450
BANK-C039-0-00,C039,2026-03-30,出金,8250
BANK-C039-0-05,C039,2026-04-04,入金,11921
BANK-C039-0-03,C039,2026-04-14,出金,16430
BANK-C039-1-03,C039,2026-04-22,入金,16270
BANK-C039-1-00,C039,2026-05-07,出金,16380
BANK-C039-1-02,C039,2026-05-13,入金,15110
BANK-C039-1-04,C039,2026-05-13,入金,8459
