campaign_id,customer_id,sent_date,campaign_type,response,cost
CMP0001,C002,2026-04-20,EC再訪促進メール,反応あり,200
CMP0002,C002,2026-05-21,複数サービス横断ポイント施策,反応なし,200
CMP0003,C003,2026-04-14,カード利用特典案内,開封のみ,300
CMP0004,C003,2026-03-16,QR決済ポイント還元,反応なし,200
CMP0005,C003,2026-04-09,QR決済ポイント還元,反応あり,100
CMP0006,C004,2026-06-22,EC再訪促進メール,反応あり,0
CMP0007,C004,2026-05-25,EC再訪促進メール,反応なし,100
CMP0008,C007,2026-04-11,QR決済ポイント還元,反応なし,300
CMP0009,C007,2026-03-19,EC再訪促進メール,反応なし,500
CMP0010,C008,2026-04-15,QR決済ポイント還元,反応なし,0
CMP0011,C008,2026-03-30,QR決済ポイント還元,反応あり,200
CMP0012,C011,2026-04-28,複数サービス横断ポイント施策,反応あり,300
CMP0013,C011,2026-03-05,複数サービス横断ポイント施策,反応なし,200
CMP0014,C011,2026-03-08,QR決済ポイント還元,反応なし,300
CMP0015,C012,2026-05-15,EC再訪促進メール,反応なし,100
CMP0016,C012,2026-04-28,複数サービス横断ポイント施策,反応あり,200
CMP0017,C014,2026-05-01,複数サービス横断ポイント施策,反応なし,100
CMP0018,C014,2026-05-16,複数サービス横断ポイント施策,反応あり,0
CMP0019,C014,2026-03-31,カード利用特典案内,反応なし,200
CMP0020,C015,2026-06-05,複数サービス横断ポイント施策,反応なし,500
CMP0021,C016,2026-05-25,カード利用特典案内,開封のみ,500
CMP0022,C017,2026-03-23,QR決済ポイント還元,開封のみ,0
CMP0023,C018,2026-04-18,複数サービス横断ポイント施策,反応あり,200
CMP0024,C020,2026-06-15,複数サービス横断ポイント施策,反応なし,300
CMP0025,C020,2026-03-05,QR決済ポイント還元,反応なし,500
CMP0026,C021,2026-04-25,カード利用特典案内,反応なし,0
CMP0027,C022,2026-04-27,複数サービス横断ポイント施策,反応あり,500
CMP0028,C022,2026-05-04,EC再訪促進メール,反応あり,300
CMP0029,C023,2026-07-01,複数サービス横断ポイント施策,反応あり,0
CMP0030,C024,2026-04-22,複数サービス横断ポイント施策,反応あり,200
CMP0031,C024,2026-06-18,複数サービス横断ポイント施策,反応なし,100
CMP0032,C025,2026-04-19,EC再訪促進メール,反応なし,300
CMP0033,C025,2026-04-08,QR決済ポイント還元,開封のみ,100
CMP0034,C027,2026-04-08,QR決済ポイント還元,反応なし,0
CMP0035,C029,2026-04-26,QR決済ポイント還元,開封のみ,200
CMP0036,C029,2026-03-17,QR決済ポイント還元,反応なし,100
