customer_id,display_name,signup_date
C001,顧客 001,2022-06-20
C002,顧客 002,2023-12-01
C003,顧客 003,2023-09-29
C004,顧客 004,2023-02-19
C005,顧客 005,2024-02-01
C006,顧客 006,2024-04-08
C007,顧客 007,2024-03-30
C008,顧客 008,2024-08-18
C009,顧客 009,2025-05-19
C010,顧客 010,2024-07-03
C011,顧客 011,2024-03-26
C012,顧客 012,2023-10-10
C013,顧客 013,2022-11-19
C014,顧客 014,2024-06-10
C015,顧客 015,2025-06-01
C016,顧客 016,2025-02-05
C017,顧客 017,2025-08-08
C018,顧客 018,2023-11-01
C019,顧客 019,2023-09-14
C020,顧客 020,2023-02-16
C021,顧客 021,2023-09-02
C022,顧客 022,2023-02-02
C023,顧客 023,2023-06-21
C024,顧客 024,2022-12-13
C025,顧客 025,2024-10-03
C026,顧客 026,2024-06-07
C027,顧客 027,2024-11-15
C028,顧客 028,2023-11-21
C029,顧客 029,2023-03-31
C030,顧客 030,2022-09-02
C031,顧客 031,2024-07-17
C032,顧客 032,2025-11-23
C033,顧客 033,2024-12-14
C034,顧客 034,2023-03-29
C035,顧客 035,2023-11-10
C036,顧客 036,2024-05-11
C037,顧客 037,2024-04-15
C038,顧客 038,2025-01-04
C039,顧客 039,2023-06-11
C040,顧客 040,2025-02-07
C041,顧客 041,2023-09-01
C042,顧客 042,2023-11-05
C043,顧客 043,2023-06-07
C044,顧客 044,2022-07-13
C045,顧客 045,2022-10-26
C046,顧客 046,2024-04-19
C047,顧客 047,2022-07-06
C048,顧客 048,2023-12-10
C049,顧客 049,2023-10-07
C050,顧客 050,2024-09-06
C051,顧客 051,2023-11-30
C052,顧客 052,2022-12-09
C053,顧客 053,2022-09-15
C054,顧客 054,2025-09-12
C055,顧客 055,2024-03-09
C056,顧客 056,2023-08-07
C057,顧客 057,2023-08-15
C058,顧客 058,2024-09-25
C059,顧客 059,2024-02-02
C060,顧客 060,2022-08-03
